rank,address,qty,percentage,token_address,token_symbol
83.0,0xa039c2f4e7943f6a150e336ed84d4034db41b53b,302161.75692,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
84.0,0x73abd656d1f0c3d6658679bff0c86ad2713a0453,300043.9621,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
85.0,0x087abaab9cd85025a8b3916948c69fe173c837ea,299876.770425,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
86.0,0x6bfd74c0996f269bcece59191eff667b3dfd73b9,298095.774403,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
87.0,0x8df33a75e5cc9d71db97fb1248cc8bdac316fe09,294088.402281,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
88.0,0x6907af3aa886c459f7e30cbb691f73baef877881,286340.563033,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
89.0,0x62d428bc7ae77d0acc7bbea9c497a945bf7f58b1,281286.207991,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
90.0,0xdfba8ad57d2c62f61f0a60b2c508bcdeb182f855,274920.076223,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
91.0,0xeebe760354f5dcba195ede0a3b93901441d0968f,263994.215128,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
92.0,0x1962acc6a722be8a9dc5cafa1a632a360567f75f,262934.941932,0.0007,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
93.0,0xa656f7d2a93a6f5878aa768f24eb38ec8c827fe2,258817.664095,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
94.0,0xa4a5e40a9a2a4fa442cf5cbd431688f8b8798480,258638.270101,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
95.0,0x32cbc0b0a02a43ad8f8a58444d203b9deeb81e27,256483.113274,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
96.0,0x0405fa0d017521d9662a7cecdd1654681c5921ff,255799.86167,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
97.0,0x0b63152899406df031893bc63a07d3d0677b3cfc,253487.905552,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
98.0,0x33a10125756889adb6d0dbd1f76f5c04c31fddee,251875.63759,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
99.0,0xc32eb36f886f638fffd836df44c124074cfe3584,250429.436768,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
100.0,0x29d639a1ecb288b616b189298cc6699cba119f14,250000.0,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
101.0,0x9fb1750da6266a05601855bb62767ebc742707b1,250000.0,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
102.0,0xf26d0d282989b046ebac7281db8d39b86c2dc5b1,244876.435177,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
103.0,0xdda940a435cd357fe714a3eb9c05fc7f78e6215f,244527.387267,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
104.0,0x03e6fa590cadcf15a38e86158e9b3d06ff3399ba,241380.584906,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
105.0,0xa6efac6a6715ccce780f8d9e7ea174c4d85dbe02,238068.44083,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
106.0,0x581a504973eb43542998f12536beac78e0c58ee1,232015.027173,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
