symbol,name,market_cap,address,price_usd
LINK,LINK/BTC,,0x514910771af9ca656af840dff83e8264ecf986ca,
LINK,LINK/USD,,0x514910771af9ca656af840dff83e8264ecf986ca,
LINK,LINK/USDT,,0x514910771af9ca656af840dff83e8264ecf986ca,
LOOKS,LOOKS/USD,,0xf4d2888d29d722226fafa5d9b24f9164c092421e,
LRC,LRC/USD,,0xbbcd3e4eb43aa7f3f57286da31333d53b24d0d6a,
LTC,LTC/BTC,,,
LTC,LTC/JPY,,,
LTC,LTC/USD,,,
LTC,LTC/USDT,,,
LUA,LUA/USD,,0xb1f66997a5760428d3a87d68b90bfe0ae64121cc,
LUA,LUA/USDT,,0xb1f66997a5760428d3a87d68b90bfe0ae64121cc,
MAGIC,MAGIC/USD,,0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,
MANA,MANA/USD,,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,
MAPS,MAPS/USD,,,
MAPS,MAPS/USDT,,,
MATH,MATH/USD,,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,
MATH,MATH/USDT,,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,
MATIC,MATIC/BTC,,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,
MATIC,MATIC/USD,,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,
MBS,MBS/USD,,,
MCB,MCB/USD,,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,
MEDIA,MEDIA/USD,,0xdb726152680ece3c9291f1016f1d36f3995f6941,
MER,MER/USD,,,
MKR,MKR/JPY,,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,
MKR,MKR/USD,,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,
MKR,MKR/USDT,,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,
MNGO,MNGO/USD,,,
MOB,MOB/USD,,,
MOB,MOB/USDT,,,
MPLX,MPLX/USD,,,
MRNA,MRNA/USD,,,
MSOL,MSOL/USD,,,
MSTR,MSTR/USD,,,
MTA,MTA/USD,,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,
MTA,MTA/USDT,,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,
MTL,MTL/USD,,0xf433089366899d83a9f26a773d59ec7ecf30355e,
MYC,MYC/USD,,0x4b13006980acb09645131b91d259eaa111eaf5ba,
NEAR,NEAR/USD,,,
NEAR,NEAR/USDT,,,
NEXO,NEXO/USD,,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,
NFLX,NFLX/USD,,,
NIO,NIO/USD,,,
NOK,NOK/USD,,,
NVDA,NVDA/USD,,,
OKB,OKB/USD,,0x75231f58b43240c9718dd58b4967c5114342a86c,
OMG,OMG/JPY,,0x3d1f5e133c2988d14a0c13bdd2b58d260e74ef9a,
OMG,OMG/USD,,0x3d1f5e133c2988d14a0c13bdd2b58d260e74ef9a,
ORBS,ORBS/USD,,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,
ORCA,ORCA/USD,,,
OXY,OXY/USD,,0x965697b4ef02f0de01384d0d4f9f782b1670c163,
OXY,OXY/USDT,,0x965697b4ef02f0de01384d0d4f9f782b1670c163,
PAXG,PAXG/USD,,0x45804880de22913dafe09f4980848ece6ecbaf78,
PAXG,PAXG/USDT,,0x45804880de22913dafe09f4980848ece6ecbaf78,
PENN,PENN/USD,,,
PEOPLE,PEOPLE/USD,,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,
PERP,PERP/USD,,0xbc396689893d065f41bc2c6ecbee5e0085233447,
PFE,PFE/USD,,,
POLIS,POLIS/USD,,,
PORT,PORT/USD,,0xf6158bdfe9e013673269b4d1ca468e8efd77ca3f,
PRISM,PRISM/USD,,,
PROM,PROM/USD,,0xfc82bb4ba86045af6f327323a46e80412b91b27d,
PSG,PSG/USD,,,
PSY,PSY/USD,,,
