symbol,price_usd,name,market_cap,decimals,address
YFI,7199.87,yearn.finance,248740451.0,18.0,0xda537104d6a5edd53c6fbba9a898708e465260b6
YFI,7199.87,yearn.finance,248740451.0,18.0,0x82e3a8f066a6989666b031d916c43672085b1582
NU,0.195787,NUCYPHER,247114576.0,18.0,0x4fe83213d56308330ec302a8bd641f1d0113a4cc
GLM,0.245294,GOLEM,243498144.0,18.0,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429
BAL,5.71,Balancer,238419269.0,18.0,0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8
BAL,5.71,Balancer,238419269.0,18.0,0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3
JASMY,0.00493183,JASMYCOIN,232937695.0,18.0,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec
ELG,2.86,ESCOIN,228752259.0,18.0,0xa2085073878152ac3090ea13d1e41bd69e60dc99
ACRV,0.833488,Aave interest bearing CRV,227602273.05622706,18.0,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1
ANKR,0.02749004,ANKR,224580093.0,18.0,0x8290333cef9e6d528dd5618fb97a76f268f3edd4
AMP,0.00403181,AMP,224549464.0,18.0,0xff20817765cb7f73d4bde2e66e067e58d11095c2
SUSHI,1.17,SUSHI,223815647.0,18.0,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2
EURT,1.082,EURO TETHER,221870742.0,6.0,0xc581b735a1688071a1746c968e0798d642ede491
ANKR,0.02618755,Ankr,221868501.0,18.0,0x101a023270368c0d50bffb62780f4afd4ea79c35
IOTX,0.02246211,IoTeX,220370710.0,18.0,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
DAO,1.48,DAO MAKER,219782623.0,18.0,0x0f51bb10119727a7e5ea3538074fb341f56b09ad
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0x0e87d8dd0ddd7b0c6e70c3e1ca45144dae5f2163
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0x13ffb514e9dee60065adb70dffb7fd273b347d21
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0x3ebf48cd7586d7a4521ce59e53d9a907ebf1480f
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0x605dff05302a63ac974b083da50549a7cde01c1b
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0x647c1fd457b95b75d0972ff08fe01d7d7bda05df
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0x78eddf7618ba6a55bd118974755cb653702a9a2d
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0x9fb4abe9d610f032be38ecca913a45df9dd9b3bb
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0xcc65a812ce382ab909a11e434dbf75b34f1cc59d
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0xb286b923a4ed32ef1eae425e2b2753f07a517708
